BadgeNumber,LastName,FirstName,EmailAddress,NotificationNumber,NumberFormat
1123456,Evanston,Al,al@gmail.com,4012342234,12
1123457,Rogers,Steve,steve@gmail.com,4012342134,12
1123458,Banner,Bruce,abruce@gmail.com,4012342254,12
544,Ruddock,Razor,steve@gmail.com,4012342134,12
545,McGuigan,Barry,abruce@gmail.com,4012342254,12
546,Bruno,Frank,al@gmail.com,4012342234,12
547,Tyson,Mike,steve@gmail.com,4012342134,12
548,Anderson,Lori,abruce@gmail.com,4012342254,12
200,Baker,Tom,al@gmail.com,4012342234,12
211,Cruise,Tom,steve@gmail.com,4012342134,12
212,Django,Unchained,abruce@gmail.com,4012342254,12
523,Eaves,Trevor,al@gmail.com,4012342234,12
214,Jobs,Steve,steve@gmail.com,4012342134,12
215,Fiddler,Bing,abruce@gmail.com,4012342254,12
216,Gains,James,al@gmail.com,4012342234,12
217,Hitchens,Chris,steve@gmail.com,4012342134,12
218,Igo,Tinker,abruce@gmail.com,4012342254,12
219,Jalapi,Jimmy-Jay,al@gmail.com,4012342234,12
221222223,Kitchener,Lord,steve@gmail.com,4012342134,12
220,Lemieux,Mario,abruce@gmail.com,4012342254,12
221,Moore,Many,al@gmail.com,4012342234,12
222,Nancy,Soon,steve@gmail.com,4012342134,12
223,Oppenheimer,Robert,abruce@gmail.com,3102342345,12
224,Phipps,Big,al@gmail.com,4012342234,12
225,Querrey,Sandra,steve@gmail.com,4012342134,12
226,Riddle,John,abruce@gmail.com,4012342254,12
227,Stark,Tony,al@gmail.com,4012342234,12
228,Tanner,Roscoe,steve@gmail.com,4012342134,12
229,Ulney,Andy,abruce@gmail.com,4012342254,12
311,Vector,Vic,al@gmail.com,4012342234,12
312,Woskow,Laurence,steve@gmail.com,4012342134,12
313,Xavier,Charles,abruce@gmail.com,4012342254,12
314,Zlatan,Ibra,al@gmail.com,4012342234,12
315,Angel,Ciudad,steve@gmail.com,4012342134,12
316,Banter,Bruce,abruce@gmail.com,4012342254,12
317,Cliveden,Alan,al@gmail.com,4012342234,12
318,Dresden,Barry,steve@gmail.com,4012342134,12
319,Epping,Jean,abruce@gmail.com,4012342254,12
320,Forbes,Steve,al@gmail.com,4012342234,12
32132,Glock,Herman,steve@gmail.com,4012342134,12
322,Hearns,Barry,abruce@gmail.com,4012342254,12
323,Illford,Slick,al@gmail.com,4012342234,12
324,Jenks,Bobby,steve@gmail.com,5679879000,12
325,Kash,Jack,abruce@gmail.com,4012342254,12
326,Lemurs,Fuzzy,al@gmail.com,4012342234,12
327,Manchurian,Denzel,steve@gmail.com,4012342134,12
328,Nail,Jimmy-Jay,abruce@gmail.com,4012342254,12
329,Oakley,Charles,al@gmail.com,4012342234,12
330,Pok,Bobby,steve@gmail.com,4012342134,12
331,Qua,Jade,abruce@gmail.com,4012342254,12
332,Risdale,Kai,al@gmail.com,4012342234,12
333,Seeley,Tom,steve@gmail.com,4012342134,12
334,Toomey,Miles,abruce@gmail.com,4012342254,12
335,Uma,Thurman,al@gmail.com,4012342234,12
336,Vickers,Vic,steve@gmail.com,4012342134,12
337,Banner,Bomber,abruce@gmail.com,4012342254,12
338,Wayne,Jaz,al@gmail.com,4012342234,12
339,Xi,J,steve@gmail.com,4012342134,12
340,Zoolander,Derek,abruce@gmail.com,4012342254,12
341,Parkes,Phil,al@gmail.com,4012342234,12
342,Dawes,Gary,steve@gmail.com,4012342134,12
343,Neill,Warren,abruce@gmail.com,4012342254,12
444,Fenwick,Terry ,al@gmail.com,4012342234,12
445,Hazel,Bobby,steve@gmail.com,4012342134,12
446,McDonald,Alan,abruce@gmail.com,4012342254,12
447,Faraday,Wayne,al@gmail.com,4012342234,12
448,Roeder,Glenn,steve@gmail.com,4012342134,12
449,Currie,Tony,abruce@gmail.com,4012342254,12
450,Bannister,Gary,al@gmail.com,4012342234,12
451,Allen,Martine,steve@gmail.com,4012342134,12
452,Allen,Clive,abruce@gmail.com,4012342254,12
453,Wilkins,Ray,al@gmail.com,4012342234,12
454,Hucker,Tony,steve@gmail.com,4012342134,12
455,Micklewhite,Gary,abruce@gmail.com,4012342254,12
456,Waddock,Gary,al@gmail.com,4012342234,12
457,Clement,Dave,elclemente@gmail.com,4012342134,12
458,Gillard,Ian,abruce@gmail.com,4012342254,12
459,McLintock,FRank,al@gmail.com,4012342234,12
500,Shanks,Bill,steve@gmail.com,4012342134,12
501,Webb,Dave,abruce@gmail.com,4012342254,12
502,Bowles,Stanley,al@gmail.com,4012342234,12
503,Francis,Gerry,steve@gmail.com,4012342134,12
504,Francis,Trevor,abruce@gmail.com,4012342254,12
505,Hollins,John,al@gmail.com,4012342234,12
506,Leach,Mickey,steve@gmail.com,4012342134,12
507,Masson,Don,abruce@gmail.com,4012342254,12
508,Givens,Dave,al@gmail.com,4012342234,12
509,Nutt,Steve,steve@gmail.com,4012342134,12
511,Banner,Frank,abruce@gmail.com,4012342254,12
512,Thomas,Dave,al@gmail.com,4012342234,12
513,Sexton,DAve,steve@gmail.com,4012342134,12
514,Banks,Gordon,abruce@gmail.com,4012342254,12
515,Cohen,Avi,al@gmail.com,4012342234,12
516,Charlton,Jackie,steve@gmail.com,4012342134,12
517,Charlton,Bobby,abruce@gmail.com,4012342254,12
518,Moore,Bobby,al@gmail.com,4012342234,12
519,Stiles,Nobby,nobby@gmail.com,4012342134,12
520,Ball,Alan,abruce@gmail.com,4012342254,12
521,Charlton,Martine,mc@gmail.com,4012342234,12
522,Peters,Martin ,steve@gmail.com,4012342134,12
524,Hunt,Allan,awel@gmail.com,4012342234,12
